%id,name,mfcc,scem,scom,srom,sbwm,tempo,rmse
115,Never Be Like You (feat. Kai).mp3,2.21439903,2359.818221,21.40331216,4844.062375,2394.665097,117.4538352,7.127340317
116,Perfect Strangers.mp3,6.439076025,2648.331964,19.74490129,6007.797005,2758.168641,117.4538352,7.915259838
117,Please Dont Go.mp3,7.480357333,2302.782895,21.07185876,4886.495452,2397.832687,83.35433468,7.717729568
118,Scars To Your Beautiful.mp3,10.10063574,2338.273246,20.14160855,5073.16099,2577.845273,99.38401442,8.522911072
119,Side To Side.mp3,4.021564406,2484.577577,21.35358619,5237.634995,2563.636639,161.4990234,6.691478252
120,Something Wrong.mp3,8.555141396,3105.006744,20.39066176,6762.034111,2959.377394,95.703125,7.588124752
121,Starving.mp3,5.699080459,2759.098575,20.78469645,5854.614598,2690.84484,99.38401442,9.139194489
122,Still Falling For You - Jonas Blue Remix.mp3,3.804559815,2992.122926,19.73210075,6233.728972,2800.657015,123.046875,5.279886246
123,Sucker For Pain.mp3,5.80020855,2003.428694,20.96685273,4137.033317,2267.574702,86.1328125,8.674656868
124,The Ocean.mp3,7.782763354,2903.467941,21.66916186,6330.903385,2788.875991,89.10290948,9.171683311
125,This Is What You Came For.mp3,8.289201952,2367.906545,19.49613489,5400.825675,2671.382564,123.046875,9.856909752
126,Too Good.mp3,8.118001391,2040.392176,19.16138575,4686.838326,2493.822531,161.4990234,8.935214043
127,We Dont Talk Anymore (feat. Selena Gomez).mp3,7.005347239,1963.658989,20.43896109,4757.137901,2696.455528,99.38401442,8.05245018
128,Whole Heart.mp3,8.216224412,2634.810772,20.3415607,5580.107925,2586.135952,107.6660156,7.467455864
129,WILD - Young Bombs Remix.mp3,9.204788106,2741.765485,20.00279664,6039.638479,2745.263992,99.38401442,11.16815186
130,Write On Me.mp3,3.588125992,2172.811554,22.06571794,4514.972699,2323.081611,95.703125,7.197347164
131,A Touch Of Silver.mp3,2.182090464,2008.227306,22.16628569,4271.332505,2362.906658,129.1992188,4.348369122
132,All The Joy.mp3,-0.420978587,1810.50212,22.8196776,3800.143688,2217.648805,89.10290948,3.749902487
133,Almost Like Being in Love.mp3,0.431972681,1920.574739,20.06893339,4231.882744,2553.858556,95.703125,4.450773716
